sample	data_type	target_file
E_drepanophylla_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_drummondii_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_drummondii_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dumosa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dundasii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_dwyeri	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_ebbanoensis_ebbanoensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_ebbanoensis_photina	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_ecostata_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_ecostata_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_educta_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_educta_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_educta_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_effusa_effusa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_effusa_exsul_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_elata_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_elata_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_eremicola_eremicola	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_eremicola_peeneri_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_eremicola_peeneri_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_erythrocorys_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_erythrocorys_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_erythrocorys_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_erythrocorys_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_erythrocorys_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
